6-battle-cutin: asked 20:16:18, back 20:16:24
6-battle-spotlight: asked 20:16:35, back 20:16:38
6-battle-dissolve: asked 20:16:58, back 20:17:04
6-battle-card: asked 20:17:43, back 20:17:45
6-battle-status: asked 20:18:00, back 20:18:02
6-battle-shake: asked 20:18:17, back 20:18:20
8-arena_battle-aoe-a: asked 20:19:39, back 20:19:48
8-arena_battle-aoe-b: asked 20:19:49, back 20:19:57
8-arena_battle-aoe-c: asked 20:20:21, back 20:20:36
8-arena_battle-aoe-d: asked 20:20:37, back 20:21:01
13-chapter_map-clear-flip: asked 20:24:42, back 20:24:43
13-chapter_map-clear-conquered: asked 20:24:53, back 20:24:55
13-chapter_map-clear-road: asked 20:25:10, back 20:25:13
13-chapter_map-road-ignite: asked 20:25:19, back 20:25:22
18-dungeon_battle-wave: asked 20:30:45, back 20:31:02
18-dungeon_battle-boss: asked 20:31:24, back 20:31:32
20-victory-0: asked 20:33:08, back 20:33:24
20-victory-triumph: asked 20:33:24, back 20:33:34
20-victory-levelup: asked 20:33:36, back 20:33:43
20-victory-defeat: asked 20:33:56, back 20:34:08
20-victory-legend: asked 20:34:25, back 20:34:28
54-skill_reel-a: asked 21:01:30, back 21:01:46
54-skill_reel-b: asked 21:01:49, back 21:02:16
54-skill_reel-c: asked 21:02:16, back 21:02:23
