# The serious remakes, one per line: asset:concept:height:palette:kit:family (tools/batch/serious_roster.py).
# AI_MODEL=meshy-7 bash tools/batch/wave_run.sh tools/batch/serious_wave.txt 500
ares_serious:Art/Concepts/ares_serious_sw.png:2.10:bronze, crimson, black:blade:ares
sekhmet_serious:Art/Concepts/sekhmet_serious_sw.png:2.00:crimson and burnished gold and near-black, black lioness fur, gold sun-disc crown, lapis and carnelian inlays:blade:sekhmet
anubis_serious:Art/Concepts/anubis_serious_sw.png:2.05:black and burnished gold and lapis blue, black jackal fur, striped nemes, gold and lapis armour:blade:anubis
thoth_serious:Art/Concepts/thoth_serious_sw.png:2.05:white, gold, lapis blue:caster:thoth
achilles_serious:Art/Concepts/achilles_serious_sw.png:2.05:bronze, red, gold:blade,attack_basic=240:achilles
amazon_serious:Art/Concepts/amazon_serious_sw.png:1.90:bronze, red, tan:blade:amazon
anhur_serious:Art/Concepts/anhur_serious_sw.png:2.10:red, gold, white:blade,attack_basic=240:anhur
aphrodite_serious:Art/Concepts/aphrodite_serious_sw.png:1.95:rose pink, white, gold:caster:aphrodite
apollo_serious:Art/Concepts/apollo_serious_sw.png:2.00:gold, white, sun orange:caster:apollo
artemis_serious:Art/Concepts/artemis_serious_sw.png:1.95:silver, forest green, white:archer:artemis
atalanta_serious:Art/Concepts/atalanta_serious_sw.png:1.90:forest green, leather brown, bronze:archer:atalanta
athena_serious:Art/Concepts/athena_serious_sw.png:2.05:bronze, white, olive green:blade:athena
baldr_serious:Art/Concepts/baldr_serious_sw.png:2.10:white, gold, sky blue:caster:baldr
bastet_serious:Art/Concepts/bastet_serious_sw.png:1.95:black, emerald green, gold:blade:bastet
bellona_serious:Art/Concepts/bellona_serious_sw.png:2.05:blood red, bronze, black:heavy:bellona
berserker_serious:Art/Concepts/berserker_serious_sw.png:2.00:fur brown, iron, red:heavy:berserker
bes_serious:Art/Concepts/bes_serious_sw.png:1.40:gold, red, leopard tan:blade:bes
bragi_serious:Art/Concepts/bragi_serious_sw.png:2.05:dark red, gold, grey:caster:bragi
centurion_serious:Art/Concepts/centurion_serious_sw.png:1.95:red, iron, bronze:blade:centurion
chang_e_serious:Art/Concepts/chang_e_serious_sw.png:1.95:moon silver, pale blue, white:caster:chang_e
cobra_priestess_serious:Art/Concepts/cobra_priestess_serious_sw.png:1.90:green, gold, black:caster:cobra_priestess
cyclops_serious:Art/Concepts/cyclops_serious_sw.png:2.60:tan, bronze, brown:heavy:cyclops
dark_elf_serious:Art/Concepts/dark_elf_serious_sw.png:1.85:black, violet, silver:blade:dark_elf
demeter_serious:Art/Concepts/demeter_serious_sw.png:2.00:wheat gold, green, cream:caster:demeter
diana_serious:Art/Concepts/diana_serious_sw.png:1.95:white, silver, forest green:archer:diana
dionysus_serious:Art/Concepts/dionysus_serious_sw.png:2.00:purple, gold, ivy green:caster:dionysus
draugr_serious:Art/Concepts/draugr_serious_sw.png:1.95:blue-grey, rust, bone:blade:draugr
dwarf_smith_serious:Art/Concepts/dwarf_smith_serious_sw.png:1.40:iron, brown, gold:heavy:dwarf_smith
einherjar_serious:Art/Concepts/einherjar_serious_sw.png:1.95:iron, blue, pale gold:blade:einherjar
fenrir_serious:Art/Concepts/fenrir_serious_sw.png:2.30:grey, steel blue, black:blade:fenrir
fox_spirit_serious:Art/Concepts/fox_spirit_serious_sw.png:1.85:red, white, silver:caster:fox_spirit
freya_serious:Art/Concepts/freya_serious_sw.png:2.00:gold, amber, white:caster:freya
frigg_serious:Art/Concepts/frigg_serious_sw.png:2.05:blue, cream, gold:caster:frigg
frost_troll_serious:Art/Concepts/frost_troll_serious_sw.png:2.50:ice blue, grey, white:heavy:frost_troll
gladiator_serious:Art/Concepts/gladiator_serious_sw.png:1.95:bronze, sand, white:blade:gladiator
guan_yu_serious:Art/Concepts/guan_yu_serious_sw.png:2.30:jade green, gold, black:heavy:guan_yu
hades_serious:Art/Concepts/hades_serious_sw.png:2.10:black, violet, dull gold:caster:hades
harpy_serious:Art/Concepts/harpy_serious_sw.png:1.75:grey-brown feathers, bone white, dark grey:blade:harpy
hathor_serious:Art/Concepts/hathor_serious_sw.png:1.90:gold, turquoise, white:caster:hathor
heimdall_serious:Art/Concepts/heimdall_serious_sw.png:2.10:gold, white, deep blue:blade:heimdall
hel_serious:Art/Concepts/hel_serious_sw.png:2.00:black, bone white, teal:caster:hel
hephaestus_serious:Art/Concepts/hephaestus_serious_sw.png:2.05:bronze, leather brown, ember orange:heavy:hephaestus
hera_serious:Art/Concepts/hera_serious_sw.png:2.10:white, gold, peacock blue:caster:hera
heracles_serious:Art/Concepts/heracles_serious_sw.png:2.10:tawny lion pelt, bronze, olive brown:heavy:heracles
hermes_serious:Art/Concepts/hermes_serious_sw.png:1.95:gold, white, sky blue:caster:hermes
hoplite_serious:Art/Concepts/hoplite_serious_sw.png:1.85:bronze, crimson, white:blade:hoplite
horus_serious:Art/Concepts/horus_serious_sw.png:2.10:gold, white, sky blue:blade:horus
idunn_serious:Art/Concepts/idunn_serious_sw.png:1.95:green, cream, gold:caster:idunn
isis_serious:Art/Concepts/isis_serious_sw.png:2.00:gold, white, lapis blue:caster:isis
jackal_warrior_serious:Art/Concepts/jackal_warrior_serious_sw.png:1.90:black, gold, tan:blade:jackal_warrior
jiangshi_serious:Art/Concepts/jiangshi_serious_sw.png:1.90:faded blue, grey-green, talisman yellow:blade:jiangshi
khnum_serious:Art/Concepts/khnum_serious_sw.png:2.20:gold, white, river green:heavy:khnum
light_elf_serious:Art/Concepts/light_elf_serious_sw.png:1.85:white, pale gold, leaf green:caster:light_elf
loki_serious:Art/Concepts/loki_serious_sw.png:2.00:green, gold, black:blade:loki
maat_serious:Art/Concepts/maat_serious_sw.png:1.95:white, gold, turquoise:caster:maat
mars_serious:Art/Concepts/mars_serious_sw.png:2.25:bronze, legion red, gold:blade:mars
medjay_serious:Art/Concepts/medjay_serious_sw.png:1.90:copper, white, red:archer:medjay
